bookId,editionId,subjectId,gradeBaseId,semester,title,unitLabels
pep-chinese-pri_g2-s2,pep,chinese,pri_g2,s2,义务教育教科书·语文（人教版）小学二年级下册,
jsph-chinese-pri_g2-s2,jsph,chinese,pri_g2,s2,义务教育教科书·语文（苏教版）小学二年级下册,
bnup-math-pri_g2-s2,bnup,math,pri_g2,s2,义务教育教科书·数学（北师大版）小学二年级下册,
jsph-math-pri_g2-s2,jsph,math,pri_g2,s2,义务教育教科书·数学（苏教版）小学二年级下册,
pep-english-pri_g2-s2,pep,english,pri_g2,s2,义务教育教科书·英语（人教版）小学二年级下册,
bnup-english-pri_g2-s2,bnup,english,pri_g2,s2,义务教育教科书·英语（北师大版）小学二年级下册,
waiyan-english-pri_g2-s2,waiyan,english,pri_g2,s2,义务教育教科书·英语（外研版）小学二年级下册,
yilin-english-pri_g2-s2,yilin,english,pri_g2,s2,义务教育教科书·英语（译林版）小学二年级下册,
pep-science-pri_g2-s2,pep,science,pri_g2,s2,义务教育教科书·科学（人教版）小学二年级下册,
jsph-science-pri_g2-s2,jsph,science,pri_g2,s2,义务教育教科书·科学（苏教版）小学二年级下册,
kexue-science-pri_g2-s2,kexue,science,pri_g2,s2,义务教育教科书·科学（教科版）小学二年级下册,
pep-morality-pri_g2-s2,pep,morality,pri_g2,s2,义务教育教科书·道德与法治（人教版）小学二年级下册,
pep-pe-pri_g2-s2,pep,pe,pri_g2,s2,义务教育教科书·体育与健康（人教版）小学二年级下册,
pep-music-pri_g2-s2,pep,music,pri_g2,s2,义务教育教科书·音乐（人教版）小学二年级下册,
pep-art-pri_g2-s2,pep,art,pri_g2,s2,义务教育教科书·美术（人教版）小学二年级下册,
