bookId,gradeBaseId,semester,gradeLabel,subjectId,subjectLabel,editionId,editionLabel,title,status,sourceUrlOrBook,editionYear,unitLabels,notes
pep-chinese-pri_g1-s1,pri_g1,s1,小学一年级（上）,chinese,语文,pep,人教版,义务教育教科书·语文（人教版）小学一年级上册,draft,,,我上学了|汉语拼音|秋天|小小的船|江南|四季|影子|比尾巴|雨点儿|乌鸦喝水|语文园地|快乐读书吧,
jsph-chinese-pri_g1-s1,pri_g1,s1,小学一年级（上）,chinese,语文,jsph,苏教版,义务教育教科书·语文（苏教版）小学一年级上册,draft,,,培养良好的学习习惯（一）|人有两个宝|一去二三里|江南|汉语拼音 1|汉语拼音 2|汉语拼音 3|汉语拼音 4|练习 1|练习 2,
pep-math-pri_g1-s1,pri_g1,s1,小学一年级（上）,math,数学,pep,人教版,义务教育教科书·数学（人教版）小学一年级上册,draft,,,准备课|位置|1～5 的认识和加减法|认识图形（一）|6～10 的认识和加减法|11～20 各数的认识|认识钟表|20 以内的进位加法|总复习,
bnup-math-pri_g1-s1,pri_g1,s1,小学一年级（上）,math,数学,bnup,北师大版,义务教育教科书·数学（北师大版）小学一年级上册,draft,,,生活中的数|比较|加减法（一）|分类|位置与顺序|认识图形|加减法（二）|认识钟表|加法|减法|加与减|总复习,
jsph-math-pri_g1-s1,pri_g1,s1,小学一年级（上）,math,数学,jsph,苏教版,义务教育教科书·数学（苏教版）小学一年级上册,draft,,,数一数|比一比|分一分|认位置|认识 10 以内的数|认识图形|分与合|10 以内的加法和减法|认识 11～20 各数|20 以内的进位加法|期末复习,
pep-english-pri_g1-s1,pri_g1,s1,小学一年级（上）,english,英语,pep,人教版,义务教育教科书·英语（人教版）小学一年级上册,draft,,,Hello!|Colours|Look at me|We love animals|Let's eat|Happy birthday|Recycle,
bnup-english-pri_g1-s1,pri_g1,s1,小学一年级（上）,english,英语,bnup,北师大版,义务教育教科书·英语（北师大版）小学一年级上册,draft,,,Hello|My body|My family|My school|Animals|Food|Review,
waiyan-english-pri_g1-s1,pri_g1,s1,小学一年级（上）,english,英语,waiyan,外研版,义务教育教科书·英语（外研版）小学一年级上册,draft,,,Hello|Point to her nose|How are you|What's this|How many|Happy birthday|Revision,
yilin-english-pri_g1-s1,pri_g1,s1,小学一年级（上）,english,英语,yilin,译林版,义务教育教科书·英语（译林版）小学一年级上册,draft,,,Hello!|Nice to meet you|My friends|My family|My school bag|On the farm|Fun time,
pep-science-pri_g1-s1,pri_g1,s1,小学一年级（上）,science,科学,pep,人教版,义务教育教科书·科学（人教版）小学一年级上册,draft,,,植物|动物|天气|我们自己|水|材料,
